factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor1,Positive,GO_Biological_Process,GO:0030198,extracellular matrix organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0043062,extracellular structure organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0045229,external encapsulating structure organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0097435,supramolecular fiber organization,17/92,61/828,0.000130729286514425,0.0512458803136547,17,OBSCN/KRT7/LUM/CCL21/MFAP4/FMOD/WIPF3/PDGFRA/COL14A1/TRPV4/CXCL12/AEBP1/LOXL4/MYH11/ELN/SPIRE1/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030036,actin cytoskeleton organization,13/92,44/828,0.000483327385264639,0.151571468018991,13,OBSCN/CCL21/WIPF3/PDGFRA/TRPV4/CXCL12/MYH11/ELN/CDC42BPG/EPHA3/SPIRE1/FAM171A1/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030029,actin filament-based process,13/92,48/828,0.00122385578143021,0.319834310880428,13,OBSCN/CCL21/WIPF3/PDGFRA/TRPV4/CXCL12/MYH11/ELN/CDC42BPG/EPHA3/SPIRE1/FAM171A1/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007155,cell adhesion,25/92,130/828,0.0019420997754703,0.435030349705347,25,EPCAM/PTPRS/TESC/CCL21/MFAP4/PKHD1/GPC4/PDGFRA/THBS2/LAMA2/COL14A1/TRPV4/CXCL12/ISLR/CD24/DACT2/MELTF/EPHA3/VCAN/FBLN2/SVEP1/LAMC3/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0045216,cell-cell junction organization,6/92,14/828,0.0023046486875679,0.451711142763308,6,PKHD1/TRPV4/SVEP1/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0016043,cellular component organization,48/92,316/828,0.00266066081018061,0.451774769747117,48,PTPRS/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/LUM/CCL21/QSOX1/MFAP4/PKHD1/KCNS3/ADAMTSL2/FMOD/HAMP/GPC4/WIPF3/PDGFRA/THBS2/LAMA2/CREB3L1/NGFR/RAB34/COL14A1/TRPV4/CXCL12/SUSD4/AEBP1/CD24/PTK6/LOXL4/RAP1GAP2/MYH11/DCDC2/MELTF/ELN/CDC42BPG/EPHA3/SEZ6L2/SYNGR1/SPIRE1/FAM171A1/SVEP1/TJP3/PAPLN/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071840,cellular component organization or biogenesis,48/92,317/828,0.00288121664379539,0.451774769747117,48,PTPRS/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/LUM/CCL21/QSOX1/MFAP4/PKHD1/KCNS3/ADAMTSL2/FMOD/HAMP/GPC4/WIPF3/PDGFRA/THBS2/LAMA2/CREB3L1/NGFR/RAB34/COL14A1/TRPV4/CXCL12/SUSD4/AEBP1/CD24/PTK6/LOXL4/RAP1GAP2/MYH11/DCDC2/MELTF/ELN/CDC42BPG/EPHA3/SEZ6L2/SYNGR1/SPIRE1/FAM171A1/SVEP1/TJP3/PAPLN/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0009888,tissue development,26/92,145/828,0.00453969879609248,0.647113428388456,26,EPCAM/PTPRS/SPINT1/FGFR2/KRT7/PKHD1/EVC/ADAMTSL2/PDGFRA/EFEMP1/NGFR/COL14A1/TRPV4/EHF/PTH1R/BGN/CD24/PTK6/DACT2/MYH11/ID4/ELN/EPHA3/SVEP1/TJP3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0031032,actomyosin structure organization,6/92,16/828,0.00510303928208097,0.66679713285858,6,OBSCN/PDGFRA/MYH11/ELN/CDC42BPG/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,4/92,8/828,0.00704963406975008,0.70441982840353,4,ADAMTSL2/CDKN1C/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,4/92,8/828,0.00704963406975008,0.70441982840353,4,ADAMTSL2/CDKN1C/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:2000177,regulation of neural precursor cell proliferation,4/92,8/828,0.00704963406975008,0.70441982840353,4,SPINT1/PDE9A/ID4/VCAN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:1901888,regulation of cell junction assembly,6/92,17/828,0.00718795743268908,0.70441982840353,6,PTPRS/GPC4/THBS2/EPHA3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007167,enzyme-linked receptor protein signaling pathway,16/92,79/828,0.00881435130121717,0.801161093450514,16,FGFR2/TGFA/DCN/ADAMTSL2/CDKN1C/FMOD/PDGFRA/EFEMP1/CREB3L1/NGFR/PTK6/DACT2/HTRA3/EPHA3/SVEP1/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007179,transforming growth factor beta receptor signaling pathway,5/92,13/828,0.00949360133411107,0.801161093450514,5,ADAMTSL2/CDKN1C/FMOD/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048856,anatomical structure development,50/92,351/828,0.00970794692318862,0.801161093450514,50,EPCAM/PTPRS/DEFB1/CACNA1H/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/TESC/CCL21/PKHD1/EVC/ADAMTSL2/GPC4/PRELP/PDGFRA/THBS2/EFEMP1/LAMA2/CREB3L1/NGFR/COL14A1/TRPV4/CXCL12/EHF/PTH1R/BGN/CD24/PTK6/DACT2/MYH11/GAL3ST1/ID4/DCDC2/ELN/EPHA3/SEZ6L2/VCAN/SPIRE1/NRSN2/FAM171A1/SVEP1/LAMC3/TJP3/ASPN/NPHP4/NXN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048731,system development,39/92,258/828,0.0105585167851873,0.827787715958686,39,EPCAM/PTPRS/SPINT1/FGFR2/TGFA/DCN/PKHD1/EVC/ADAMTSL2/GPC4/PRELP/PDGFRA/THBS2/EFEMP1/LAMA2/CREB3L1/NGFR/COL14A1/TRPV4/CXCL12/PTH1R/BGN/CD24/PTK6/DACT2/MYH11/GAL3ST1/ID4/DCDC2/ELN/EPHA3/SEZ6L2/VCAN/NRSN2/SVEP1/LAMC3/NPHP4/NXN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,3/92,5/828,0.0112579957309794,0.840597014579794,3,ADAMTSL2/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048468,cell development,26/92,156/828,0.0128700341929034,0.852312414126119,26,PTPRS/DEFB1/SPINT1/FGFR2/OBSCN/TESC/CCL21/PKHD1/PDGFRA/LAMA2/NGFR/COL14A1/TRPV4/CXCL12/PTH1R/PTK6/DACT2/MYH11/ID4/DCDC2/EPHA3/VCAN/LAMC3/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071560,cellular response to transforming growth factor beta stimulus,6/92,19/828,0.0130961904913053,0.852312414126119,6,FGFR2/ADAMTSL2/CDKN1C/FMOD/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007015,actin filament organization,7/92,25/828,0.0149292701703415,0.852312414126119,7,CCL21/WIPF3/TRPV4/CXCL12/ELN/SPIRE1/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0034330,cell junction organization,11/92,50/828,0.0163201223093604,0.852312414126119,11,PTPRS/PKHD1/GPC4/THBS2/TRPV4/EPHA3/SEZ6L2/SVEP1/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0009653,anatomical structure morphogenesis,28/92,175/828,0.0170092216610871,0.852312414126119,28,PTPRS/CACNA1H/SPINT1/FGFR2/OBSCN/TGFA/DCN/PKHD1/PDGFRA/THBS2/EFEMP1/LAMA2/CREB3L1/NGFR/TRPV4/CXCL12/DACT2/MYH11/ID4/DCDC2/ELN/EPHA3/SPIRE1/FAM171A1/SVEP1/LAMC3/ASPN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0018108,peptidyl-tyrosine phosphorylation,6/92,20/828,0.0170596267575283,0.852312414126119,6,FGFR2/TGFA/PDGFRA/EFEMP1/PTK6/EPHA3,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0018212,peptidyl-tyrosine modification,6/92,20/828,0.0170596267575283,0.852312414126119,6,FGFR2/TGFA/PDGFRA/EFEMP1/PTK6/EPHA3,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071559,response to transforming growth factor beta,6/92,20/828,0.0170596267575283,0.852312414126119,6,FGFR2/ADAMTSL2/CDKN1C/FMOD/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007224,smoothened signaling pathway,4/92,10/828,0.0177352256360217,0.852312414126119,4,FGFR2/EVC/RAB34/DCDC2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0008589,regulation of smoothened signaling pathway,4/92,10/828,0.0177352256360217,0.852312414126119,4,FGFR2/EVC/RAB34/DCDC2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0085029,extracellular matrix assembly,4/92,10/828,0.0177352256360217,0.852312414126119,4,QSOX1/MFAP4/MYH11/ELN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0006874,intracellular calcium ion homeostasis,5/92,15/828,0.0184812640818164,0.852312414126119,5,CCL21/PKHD1/TRPV4/CXCL12/PTH1R,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030199,collagen fibril organization,5/92,15/828,0.0184812640818164,0.852312414126119,5,LUM/FMOD/COL14A1/AEBP1/LOXL4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0045880,positive regulation of smoothened signaling pathway,3/92,6/828,0.0207124410268171,0.885635815787008,3,EVC/RAB34/DCDC2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007275,multicellular organism development,41/92,285/828,0.0210927867831181,0.885635815787008,41,EPCAM/PTPRS/SPINT1/FGFR2/TGFA/DCN/TESC/PKHD1/EVC/ADAMTSL2/GPC4/PRELP/PDGFRA/THBS2/EFEMP1/LAMA2/CREB3L1/NGFR/COL14A1/TRPV4/CXCL12/PTH1R/BGN/CD24/PTK6/DACT2/MYH11/GAL3ST1/ID4/DCDC2/ELN/EPHA3/SEZ6L2/VCAN/NRSN2/SVEP1/LAMC3/ASPN/NPHP4/NXN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0000902,cell morphogenesis,12/92,59/828,0.0226033634116252,0.885635815787008,12,PTPRS/FGFR2/PKHD1/LAMA2/NGFR/CXCL12/DACT2/DCDC2/EPHA3/FAM171A1/LAMC3/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0090287,regulation of cellular response to growth factor stimulus,7/92,27/828,0.0228808700758013,0.885635815787008,7,DCN/ADAMTSL2/CDKN1C/CREB3L1/NGFR/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048469,cell maturation,4/92,11/828,0.0255334650855117,0.885635815787008,4,DEFB1/CCL21/PTH1R/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071300,cellular response to retinoic acid,4/92,11/828,0.0255334650855117,0.885635815787008,4,FGFR2/TESC/PTK6/EPHA3,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0019538,protein metabolic process,31/92,206/828,0.0281809315662986,0.885635815787008,31,PTPRS/SPINT1/FGFR2/OBSCN/TGFA/TESC/CCL21/QSOX1/ITIH5/B3GNT3/EEF1A2/CDKN1C/HAMP/PDGFRA/PRSS8/EFEMP1/NGFR/AEBP1/CD24/PTK6/GAL3ST1/LARP6/GGT5/MELTF/HTRA3/CDC42BPG/EPHA3/MAPK13/PAPLN/KLHL29/NXN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0032502,developmental process,51/92,378/828,0.0297758959011034,0.885635815787008,51,EPCAM/PTPRS/DEFB1/CACNA1H/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/TESC/CCL21/PKHD1/EVC/ADAMTSL2/GPC4/WIPF3/PRELP/PDGFRA/THBS2/EFEMP1/LAMA2/CREB3L1/NGFR/COL14A1/TRPV4/CXCL12/EHF/PTH1R/BGN/CD24/PTK6/DACT2/MYH11/GAL3ST1/ID4/DCDC2/ELN/EPHA3/SEZ6L2/VCAN/SPIRE1/NRSN2/FAM171A1/SVEP1/LAMC3/TJP3/ASPN/NPHP4/NXN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0055074,calcium ion homeostasis,5/92,17/828,0.0318015744884793,0.885635815787008,5,CCL21/PKHD1/TRPV4/CXCL12/PTH1R,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0061351,neural precursor cell proliferation,5/92,17/828,0.0318015744884793,0.885635815787008,5,SPINT1/FGFR2/PDE9A/ID4/VCAN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0009966,regulation of signal transduction,28/92,184/828,0.0331401746667937,0.885635815787008,28,PTPRS/FGFR2/OBSCN/TGFA/DCN/CCL21/PKHD1/EVC/ADAMTSL2/CDKN1C/GPC4/PDGFRA/LAMA2/CREB3L1/NGFR/RAB34/TRPV4/CXCL12/CD24/PTK6/RAP1GAP2/DACT2/DCDC2/HTRA3/SEZ6L2/ASPN/NPHP4/NXN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0006826,iron ion transport,3/92,7/828,0.0333586242418701,0.885635815787008,3,HAMP/SLC22A17/MELTF,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007173,epidermal growth factor receptor signaling pathway,3/92,7/828,0.0333586242418701,0.885635815787008,3,TGFA/EFEMP1/PTK6,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0010712,regulation of collagen metabolic process,3/92,7/828,0.0333586242418701,0.885635815787008,3,MFAP4/CREB3L1/LARP6,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0038127,ERBB signaling pathway,3/92,7/828,0.0333586242418701,0.885635815787008,3,TGFA/EFEMP1/PTK6,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0070509,calcium ion import,3/92,7/828,0.0333586242418701,0.885635815787008,3,CACNA1H/TRPV4/CXCL12,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0001894,tissue homeostasis,6/92,23/828,0.033720341239832,0.885635815787008,6,HAMP/LAMA2/COL14A1/PTH1R/TJP3/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0060249,anatomical structure homeostasis,6/92,23/828,0.033720341239832,0.885635815787008,6,HAMP/LAMA2/COL14A1/PTH1R/TJP3/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,4/92,12/828,0.0351011031126631,0.885635815787008,4,ADAMTSL2/DACT2/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048583,regulation of response to stimulus,36/92,252/828,0.0375739400555122,0.885635815787008,36,PTPRS/C7/FGFR2/OBSCN/TGFA/DCN/CCL21/PKHD1/EVC/ADAMTSL2/CDKN1C/HAMP/GPC4/PDGFRA/PDE9A/LAMA2/CREB3L1/NGFR/RAB34/TRPV4/CXCL12/SUSD4/CD24/PTK6/RAP1GAP2/DACT2/DCDC2/HTRA3/SEZ6L2/SPIRE1/MAPK13/SVEP1/ASPN/NPHP4/NXN/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,5/92,18/828,0.0402528021980459,0.885635815787008,5,ADAMTSL2/CDKN1C/DACT2/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,6/92,24/828,0.0410259607465391,0.885635815787008,6,ADAMTSL2/CDKN1C/FMOD/DACT2/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007010,cytoskeleton organization,15/92,87/828,0.0460892367007121,0.885635815787008,15,OBSCN/KRT7/CCL21/PKHD1/WIPF3/PDGFRA/TRPV4/CXCL12/MYH11/ELN/CDC42BPG/EPHA3/SPIRE1/FAM171A1/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071363,cellular response to growth factor stimulus,11/92,58/828,0.0462731747305743,0.885635815787008,11,SPINT1/FGFR2/DCN/ADAMTSL2/CDKN1C/FMOD/PDGFRA/CREB3L1/NGFR/HTRA3/ASPN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0021761,limbic system development,4/92,13/828,0.0464822150142417,0.885635815787008,4,PTPRS/FGFR2/ID4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0042692,muscle cell differentiation,7/92,31/828,0.0467074846834939,0.885635815787008,7,CACNA1H/FGFR2/OBSCN/PDGFRA/LAMA2/COL14A1/MYH11,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,14/92,80/828,0.0478769593273577,0.885635815787008,14,EPCAM/FGFR2/DCN/TESC/LUM/CDKN1C/HAMP/CREB3L1/NGFR/EHF/PTK6/ID4/SPIRE1/EBF4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007405,neuroblast proliferation,3/92,8/828,0.0491440183451421,0.885635815787008,3,FGFR2/ID4/VCAN,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030239,myofibril assembly,3/92,8/828,0.0491440183451421,0.885635815787008,3,OBSCN/PDGFRA/MYH11,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0051017,actin filament bundle assembly,3/92,8/828,0.0491440183451421,0.885635815787008,3,ELN/SPIRE1/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0061572,actin filament bundle organization,3/92,8/828,0.0491440183451421,0.885635815787008,3,ELN/SPIRE1/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071887,leukocyte apoptotic process,3/92,8/828,0.0491440183451421,0.885635815787008,3,CCL21/CXCL12/EBF4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:1901890,positive regulation of cell junction assembly,3/92,8/828,0.0491440183451421,0.885635815787008,3,THBS2/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:1903053,regulation of extracellular matrix organization,3/92,8/828,0.0491440183451421,0.885635815787008,3,LAMA2/AEBP1/MELTF,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0032956,regulation of actin cytoskeleton organization,5/92,19/828,0.0499515920933104,0.885635815787008,5,CCL21/PDGFRA/CXCL12/ELN/EPHA3,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0048812,neuron projection morphogenesis,8/92,38/828,0.049971148535599,0.885635815787008,8,PTPRS/FGFR2/LAMA2/NGFR/CXCL12/DCDC2/EPHA3/CNTNAP2,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04820,Cytoskeleton in muscle cells,9/50,28/493,0.000858994831947233,0.118541286808718,9,OBSCN/DCN/THBS2/LAMA2/BGN/MYH11/ELN/VCAN/FBLN2,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04810,Regulation of actin cytoskeleton,5/50,11/493,0.00255004836343704,0.128450737234666,5,C7/FGFR2/PDGFRA/CXCL12/MYH11,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04010,MAPK signaling pathway,6/50,16/493,0.00293932966997729,0.128450737234666,6,CACNA1H/FGFR2/TGFA/PDGFRA/NGFR/MAPK13,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04014,Ras signaling pathway,4/50,8/493,0.00485262123830907,0.128450737234666,4,FGFR2/TGFA/PDGFRA/NGFR,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04350,TGF-beta signaling pathway,4/50,8/493,0.00485262123830907,0.128450737234666,4,DCN/FMOD/HAMP/ID4,Exploratory
Factor1,Positive,KEGG_Pathway,hsa05215,Prostate cancer,5/50,13/493,0.00605918509507108,0.128450737234666,5,SPINT1/FGFR2/TGFA/PDGFRA/CREB3L1,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04151,PI3K-Akt signaling pathway,8/50,30/493,0.00651561710610624,0.128450737234666,8,FGFR2/TGFA/PDGFRA/THBS2/LAMA2/CREB3L1/NGFR/LAMC3,Exploratory
Factor1,Positive,KEGG_Pathway,hsa01521,EGFR tyrosine kinase inhibitor resistance,3/50,5/493,0.00850721407108383,0.146749442726196,3,FGFR2/TGFA/PDGFRA,Exploratory
Factor1,Positive,KEGG_Pathway,hsa05163,Human cytomegalovirus infection,4/50,12/493,0.0251803172303433,0.386098197531931,4,PDGFRA/CREB3L1/CXCL12/MAPK13,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04015,Rap1 signaling pathway,4/50,13/493,0.0336785981793533,0.40528924857324,4,FGFR2/PDGFRA/NGFR/MAPK13,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04517,IgSF CAM signaling,4/50,13/493,0.0336785981793533,0.40528924857324,4,PTPRS/MYH11/MAPK13/CNTNAP2,Exploratory
Factor1,Positive,KEGG_Pathway,hsa04261,Adrenergic signaling in cardiomyocytes,3/50,8/493,0.0381794219670443,0.40528924857324,3,CREB3L1/PPP1R1A/MAPK13,Exploratory
Factor1,Positive,KEGG_Pathway,hsa05020,Prion disease,3/50,8/493,0.0381794219670443,0.40528924857324,3,C7/CREB3L1/MAPK13,Exploratory
Factor1,Positive,KEGG_Pathway,hsa05145,Toxoplasmosis,3/50,9/493,0.0532280185847619,0.507472159764644,3,LAMA2/MAPK13/LAMC3,Not Significant
Factor1,Positive,KEGG_Pathway,hsa04519,Cadherin signaling,4/50,15/493,0.0551600173657222,0.507472159764644,4,KRT7/TMC4/PDGFRA/MAPK13,Not Significant
Factor1,Positive,KEGG_Pathway,hsa05130,Pathogenic Escherichia coli infection,3/50,10/493,0.0706973605261678,0.543087417627301,3,WIPF3/MYH11/MAPK13,Not Significant
Factor1,Positive,KEGG_Pathway,hsa04020,Calcium signaling pathway,4/50,17/493,0.0825812278136917,0.543087417627301,4,CACNA1H/FGFR2/TGFA/PDGFRA,Not Significant
Factor1,Positive,KEGG_Pathway,hsa04510,Focal adhesion,4/50,17/493,0.0825812278136917,0.543087417627301,4,PDGFRA/THBS2/LAMA2/LAMC3,Not Significant
Factor1,Positive,KEGG_Pathway,hsa00565,Ether lipid metabolism,2/50,5/493,0.082643737465024,0.543087417627301,2,PLPP2/GAL3ST1,Not Significant
Factor1,Positive,KEGG_Pathway,hsa05230,Central carbon metabolism in cancer,2/50,5/493,0.082643737465024,0.543087417627301,2,FGFR2/PDGFRA,Not Significant
Factor1,Negative,GO_Biological_Process,GO:0006805,xenobiotic metabolic process,17/85,37/828,9.9836815491605e-09,1.41967951629062e-05,17,CYP1A1/BCHE/GSTA1/ABCB11/GSTA2/GLYAT/UGT1A9/NR1I2/CYP2A6/CYP2A7/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ALDH3A1/CYP1A2/SULT1B1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0043436,oxoacid metabolic process,33/85,130/828,3.05120090278956e-08,1.58492566509179e-05,33,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/GLYAT/UGT2B10/SRD5A2/UGT1A9/PRODH2/CYP2A6/AKR1C4/CYP2A7/CYP7A1/ALDOC/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/CYP1A2/SULT1B1/AASS/ADH4/AGXT2/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0071466,cellular response to xenobiotic stimulus,18/85,44/828,3.34372503183922e-08,1.58492566509179e-05,18,CYP1A1/BCHE/GSTA1/ABCB11/GSTA2/GLYAT/UGT1A9/NR1I2/CYP2A6/CYP2A7/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/ALDH3A1/CYP1A2/SULT1B1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0006082,organic acid metabolic process,33/85,132/828,4.68943835875518e-08,1.66709533653747e-05,33,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/GLYAT/UGT2B10/SRD5A2/UGT1A9/PRODH2/CYP2A6/AKR1C4/CYP2A7/CYP7A1/ALDOC/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/CYP1A2/SULT1B1/AASS/ADH4/AGXT2/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0044281,small molecule metabolic process,40/85,185/828,7.81673486477848e-08,2.10510146935317e-05,40,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/GLYAT/UGT2B10/SRD5A2/UGT1A9/PRODH2/MME/CYP2A6/AKR1C4/APOF/CYP2A7/TSKU/CYP7A1/ALDOC/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/RDH16/CYP1A2/SULT1B1/AASS/MOGAT2/ADH4/SLC17A3/CYP17A1/AGXT2/SLC27A5/GPD1,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0008202,steroid metabolic process,21/85,62/828,1.02944075892662e-07,2.10510146935317e-05,21,CYP1A1/CYP8B1/UGT1A4/AKR1C2/ACADL/ABCB11/UGT2B10/SRD5A2/NR1I2/CYP2A6/AKR1C4/APOF/TSKU/CYP7A1/CYP2B6/UGT2B7/UGT1A1/RDH16/CYP1A2/CYP17A1/SLC27A5,Robust Supported
Factor1,Negative,GO_Biological_Process,GO:0019752,carboxylic acid metabolic process,32/85,129/828,1.03626654609509e-07,2.10510146935317e-05,32,CYP1A1/CYP8B1/ALDH1L1/UGT1A4/GSTA1/AKR1C2/ACADL/ABCB11/GLYAT/UGT2B10/SRD5A2/UGT1A9/PRODH2/CYP2A6/AKR1C4/CYP2A7/CYP7A1/ALDOC/ACSM5/AADAT/CYP2B6/UGT2B7/UGT1A6/UGT1A1/ABCC9/DCXR/CYP1A2/AASS/ADH4/AGXT2/SLC27A5/GPD1,Robust Supported
