factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor2,Negative,GO_Biological_Process,GO:0007019,microtubule depolymerization,3/97,5/828,0.0130880767107391,0.124177118060427,3,KIF2C/KIF18B/AURKB,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0015931,nucleobase-containing compound transport,3/97,5/828,0.0130880767107391,0.124177118060427,3,PEG10/IGF2BP2/SLC29A4,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0044773,mitotic DNA damage checkpoint signaling,3/97,5/828,0.0130880767107391,0.124177118060427,3,GTSE1/PLK1/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0051294,establishment of spindle orientation,3/97,5/828,0.0130880767107391,0.124177118060427,3,SKA1/PLK1/SKA3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0070301,cellular response to hydrogen peroxide,3/97,5/828,0.0130880767107391,0.124177118060427,3,SPHK1/MAPK13/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0072594,establishment of protein localization to organelle,3/97,5/828,0.0130880767107391,0.124177118060427,3,NEURL3/HK2/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0031570,DNA integrity checkpoint signaling,4/97,9/828,0.0140348889536251,0.130768186897249,4,GTSE1/PLK1/CDK1/CDT1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0065004,protein-DNA complex assembly,4/97,9/828,0.0140348889536251,0.130768186897249,4,DLGAP5/CENPF/HJURP/CDT1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0071824,protein-DNA complex organization,4/97,9/828,0.0140348889536251,0.130768186897249,4,DLGAP5/CENPF/HJURP/CDT1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0006351,DNA-templated transcription,21/97,113/828,0.0142956093328585,0.132404572154332,21,MYBL2/SPP1/SPHK1/EPCAM/PLK1/TRIP13/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0032446,protein modification by small protein conjugation,7/97,24/828,0.0157010742602922,0.144561370112513,7,SPHK1/CDC20/UBE2C/PLK1/NEURL3/SOX4/UHRF1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0051246,regulation of protein metabolic process,19/97,100/828,0.015829296631108,0.144884620929436,19,SPHK1/CD24/IGF2BP2/SPINT1/CDC20/UBE2C/EGLN3/SPINK1/MMP9/PLK1/MELTF/BIRC5/SOX4/LIF/BACE2/CDC25C/UHRF1/CDKN3/PAPLN,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0051052,regulation of DNA metabolic process,6/97,19/828,0.0168741636544828,0.153545021323832,6,PLK1/AURKB/CDK1/FOXM1/CDT1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0048519,negative regulation of biological process,47/97,316/828,0.0182515928428015,0.165113246880228,47,SPP1/SPHK1/PEG10/CD24/IGF2BP2/SPINT1/EPCAM/CDC20/TYRO3/CTHRC1/SPINK1/MMP9/BICC1/SKA1/GTSE1/PLK1/BUB1B/TRIP13/MMP11/TOP2A/MELTF/BIRC5/CENPF/AURKB/NUF2/PYCR1/HK2/CDK1/TESC/DUSP9/FOXM1/GNAZ/ANXA13/SOX4/LIF/SUSD4/TTK/CDT1/CCNE1/BACE2/SKA3/UHRF1/CDKN3/DEPDC1/PAPLN/ITPR3/DDR1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0008283,cell population proliferation,25/97,145/828,0.0193156465196849,0.173729167541212,25,SPHK1/CD24/SPINT1/EPCAM/CTHRC1/EGLN3/SPINK1/MMP9/TRNP1/BIRC5/SHCBP1/CDK1/TESC/MCM10/MELK/FOXM1/SOX4/LIF/TTK/CCNE1/CDC25C/UHRF1/CDKN3/DDR1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0042127,regulation of cell population proliferation,22/97,124/828,0.0208369531684814,0.186335052472167,22,SPHK1/CD24/SPINT1/EPCAM/CTHRC1/EGLN3/SPINK1/MMP9/TRNP1/BIRC5/SHCBP1/CDK1/TESC/FOXM1/SOX4/LIF/TTK/CCNE1/UHRF1/CDKN3/DDR1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0051252,regulation of RNA metabolic process,21/97,117/828,0.0211990107340387,0.188443424008407,21,MYBL2/SPP1/SPHK1/IGF2BP2/EPCAM/PLK1/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0006261,DNA-templated DNA replication,4/97,10/828,0.0213149374199741,0.188443424008407,4,MCM10/EXO1/CDT1/CCNE1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0007283,spermatogenesis,6/97,20/828,0.0218624967393439,0.191112611946174,6,GAL3ST1/TYRO3/SPINK1/TRIP13/PTTG1/CDC25C,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0048232,male gamete generation,6/97,20/828,0.0218624967393439,0.191112611946174,6,GAL3ST1/TYRO3/SPINK1/TRIP13/PTTG1/CDC25C,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0016070,RNA metabolic process,22/97,125/828,0.0228305195588452,0.198334394735945,22,MYBL2/SPP1/SPHK1/IGF2BP2/EPCAM/PLK1/TRIP13/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0006355,regulation of DNA-templated transcription,20/97,111/828,0.0236307935684621,0.198334394735945,20,MYBL2/SPP1/SPHK1/EPCAM/PLK1/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0000077,DNA damage checkpoint signaling,3/97,6/828,0.0239632816261939,0.198334394735945,3,GTSE1/PLK1/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,3/97,6/828,0.0239632816261939,0.198334394735945,3,PLK1/CDC25C/CDKN3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0002832,negative regulation of response to biotic stimulus,3/97,6/828,0.0239632816261939,0.198334394735945,3,TYRO3/AURKB/SUSD4,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0006270,DNA replication initiation,3/97,6/828,0.0239632816261939,0.198334394735945,3,MCM10/CDT1/CCNE1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0006470,protein dephosphorylation,3/97,6/828,0.0239632816261939,0.198334394735945,3,DUSP9/CDC25C/CDKN3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0044774,mitotic DNA integrity checkpoint signaling,3/97,6/828,0.0239632816261939,0.198334394735945,3,GTSE1/PLK1/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0045824,negative regulation of innate immune response,3/97,6/828,0.0239632816261939,0.198334394735945,3,TYRO3/AURKB/SUSD4,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0051293,establishment of spindle localization,3/97,6/828,0.0239632816261939,0.198334394735945,3,SKA1/PLK1/SKA3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0033554,cellular response to stress,17/97,91/828,0.0264940516391429,0.218120340478869,17,SPP1/SPHK1/EGLN3/GTSE1/PLK1/TRIP13/TOP2A/PYCR1/MAPK13/CDK1/MCM10/PTTG1/FOXM1/EXO1/SOX4/UHRF1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0044085,cellular component biogenesis,25/97,149/828,0.0270179196844805,0.221262542258166,25,MYBL2/SPHK1/PEG10/EPS8L3/CDC20/UBE2C/SKA1/ANLN/PLK1/TRIP13/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/CCNB2/HJURP/KIFC1/CDK1/EXO1/CDT1/SKA3/UHRF1/ITPR3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0032774,RNA biosynthetic process,21/97,120/828,0.0279186156024424,0.2274417061644,21,MYBL2/SPP1/SPHK1/EPCAM/PLK1/TRIP13/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:2001141,regulation of RNA biosynthetic process,20/97,113/828,0.0284756328237905,0.230771274342802,20,MYBL2/SPP1/SPHK1/EPCAM/PLK1/TOP2A/BIRC5/CENPF/AURKB/ETV4/ZNF320/CDK1/TESC/FOXM1/SOX4/LIF/CCNE1/UHRF1/DEPDC1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0016311,dephosphorylation,4/97,11/828,0.0305326026978348,0.244890359782634,4,PLPP2/DUSP9/CDC25C/CDKN3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0070507,regulation of microtubule cytoskeleton organization,4/97,11/828,0.0305326026978348,0.244890359782634,4,SKA1/PLK1/AURKB/SKA3,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0008284,positive regulation of cell population proliferation,14/97,72/828,0.0316585887766217,0.252619303263709,14,SPHK1/CD24/EPCAM/CTHRC1/SPINK1/MMP9/BIRC5/CDK1/FOXM1/SOX4/LIF/TTK/CCNE1/CCNA2,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0045184,establishment of protein localization,13/97,66/828,0.0345663298683248,0.274414333036293,13,CD24/CEP55/PLK1/KIF20A/TMED3/CENPF/NEURL3/HK2/CDK1/TESC/GNAZ/ANXA13/SOX4,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0031401,positive regulation of protein modification process,8/97,34/828,0.0360676865471897,0.281387621442696,8,SPHK1/CD24/CDC20/UBE2C/MMP9/PLK1/SOX4/LIF,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0061024,membrane organization,8/97,34/828,0.0360676865471897,0.281387621442696,8,SPHK1/CD24/CEP55/PLK1/KIF20A/AURKB/HK2/CDK1,Exploratory
Factor2,Negative,GO_Biological_Process,GO:0001822,kidney development,7/97,28/828,0.036168074735565,0.281387621442696,7,CD24/EPCAM/MMP9/BICC1/CENPF/SOX4/LIF,Exploratory
