factor_id,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25
Factor1,0.993218021267429,0.985054120911544,0.992278642135951,0.985097367442042,0.988981830771417,0.99565402585332,0.988067653081473,0.990906018086702,0.981752772594668,0.986424822664249,0.986086943199102,0.990720543916489,0.985954873628187,0.994090161545844,0.991022504205245,0.988113886886821,0.987677531195173,0.992987774556127,0.990233955354207,0.985944366078823,0.98887892362725,0.989888895157286,0.986098898326741,0.981230581837285,0.984245437912588
Factor2,0.986116060792096,0.986070926273947,0.960883263746843,0.988092132790277,0.958641070783632,0.985030084907522,0.979120330574293,0.983232774550283,0.987731819950773,0.970722142039415,0.914903393917817,0.985069299575045,0.950671329664944,0.991616965512142,0.991984601894108,0.951845714878953,0.991393255025363,0.97993977219292,0.990822269522535,0.988618144939431,0.993898188198428,0.983986713608909,0.990051770907147,0.982803686587176,0.985806931237266
Factor3,0.952740809102245,0.731364340355583,0.873241808492476,0.906517112324043,0.8361552238345,0.701893012428348,0.842485997675722,0.940100633801589,0.83401339659753,0.952802431483805,0.782829217519899,0.830916019294048,0.816143622204682,0.74412983795729,0.952059005242242,0.797461366434444,0.903627981732295,0.901963169259543,0.924048470840138,0.907173223367392,0.882321288242487,0.904555408890466,0.927552942950654,0.811653677441157,0.93186097221956
Factor4,0.783309796535361,0.67872582566683,0.786880753046186,0.814475108667015,0.814948078971703,0.87745114590124,0.723407565546191,0.931738363302262,0.783776138824607,0.790996720274106,0.753126008777783,0.768586300697506,0.913615245322914,0.754841850705148,0.88823276013457,0.890244192554697,0.823254619746386,0.831711182344026,0.856592706395626,0.7571979092672,0.812760064989334,0.871993648874729,0.923674978848749,0.850875458925078,0.840106841325317
Factor5,0.984427010206499,0.986576372658614,0.973841032445731,0.975309817734481,0.990606068546571,0.986857139277238,0.986130396752301,0.971784134654731,0.99244323438863,0.976099209630402,0.975913856104262,0.985842041702107,0.991694867499698,0.990292817300988,0.974167593112052,0.986817578834507,0.979699365868831,0.976895776302651,0.988608500922157,0.968723737781383,0.978755843670581,0.986859855349427,0.991828275166821,0.972542571056687,0.966065710246754
Factor6,0.938482894532103,0.577358514132492,0.747037033724884,0.910036717957262,0.671288766557938,0.630641010260387,0.61238206600816,0.796581033461544,0.708569688335567,0.593892836002888,0.646049370526128,0.670695380488257,0.59722991825212,0.626693768203569,0.740315729876423,0.728887851370309,0.745995421054353,0.664009754156852,0.647493671975183,0.609428979547083,0.618777403783823,0.785291456922504,0.71735792084611,0.800260636221577,0.877618992767705
Factor7,0.733511377391392,0.665037828470967,0.784825881449886,0.569298059627101,0.834235796280012,0.676384276257079,0.729097120776371,0.714355948518108,0.695396497260184,0.693531502562264,0.632246710394755,0.769931226682004,0.751635261689492,0.78054179081204,0.854172116634338,0.424515299331956,0.848735287045517,0.919817659856687,0.624264079299733,0.600969095024129,0.810067288808417,0.686181620784958,0.651280140642337,0.766602597481895,0.729703605293626
Factor8,0.782405950768914,0.660746792232066,0.689370660604447,0.92553845027871,0.650189959785314,0.886829252824591,0.766889168302778,0.693015948807565,0.840335008552216,0.882543422364529,0.578052643598202,0.588631650099338,0.831121004407759,0.691891501971618,0.794698064648757,0.784317079928717,0.848348104689101,0.785614548080192,0.898675113840694,0.587107250719469,0.661606828458845,0.696052455441108,0.663103124549536,0.831460881353041,0.790226800744738
Factor9,0.859626173573664,0.835630823761706,0.927678304575569,0.824158177092558,0.866028621898816,0.723360033100087,0.612451192713097,0.774625116985993,0.768118252169784,0.842118098194505,0.820607185499088,0.686608071802068,0.802119348540454,0.6035639282419,0.885524094366007,0.708925622410227,0.848981388477838,0.732256951951397,0.735634005921606,0.674770889651484,0.652410636742093,0.831490180106442,0.907005855152548,0.887702251840933,0.806602277117289
Factor10,0.742205059755637,0.655556580657082,0.754216612941784,0.608206478170914,0.471793254333485,0.635743082436975,0.736764607625402,0.538732639053826,0.738215275087564,0.685989208481588,0.625917558912227,0.762273166720556,0.534004328903385,0.531807535240932,0.894986939753821,0.538875702509952,0.712054306539125,0.705339248241345,0.599378645347359,0.875267882405795,0.396097140405525,0.638280185617305,0.586095405731174,0.777406808463273,0.592125854246222
